Task num;Task name;Leetcode link;Solution link;Explaination link;Topics;Difficulty
421;Maximum XOR of Two Numbers in Array;[problem](https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/421.MaximumXORofTwoNumbersinArray);;Array, Hash Table, Bit Manipulation, Trie;Medium
211;Design Add and Search Words Data Structure;[problem](https://leetcode.com/problems/design-add-and-search-words-data-structure/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/211.DesignAddandSearchWordsDataStructure);;String, Depth-First Search, Design, Trie;Medium
249;Group Shifted Strings;[problem](https://leetcode.com/problems/group-shifted-strings/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/249.GroupShiftedStrings);;Array, Hash Table, String;Medium
84;Largest Rectangle in Histogram;[problem](https://leetcode.com/problems/largest-rectangle-in-histogram/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/84.LargestRectangleinHistogram);;Array, Stack, Monotonic Stack;Hard
189;Rotate Array;[problem](https://leetcode.com/problems/rotate-array/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/189.RotateArray);;Array, Math, Two Pointers;Medium
49;Group Anagrams;[problem](https://leetcode.com/problems/group-anagrams/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/49.GroupAnagrams);;Hash Table, String, Sorting;Medium
1672;Richest Customer Wealth;[problem](https://leetcode.com/problems/richest-customer-wealth/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/1642.RichestCustomerWealth);;Array, Matrix;Easy
1101;The Easliest Moment When Everyone Become Friends;[problem](https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/1101.TheEarliestMomentWhenEveryoneBecomeFriends);;Array, Union Find;Medium
438;Find All Anagrams in a String;[problem](https://leetcode.com/problems/find-all-anagrams-in-a-string/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/438.FindAllAnagramsinaString);;Hash Table, String, Sliding Window;Medium
525;Contiguous Array;[problem](https://leetcode.com/problems/contiguous-array/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/525.ContiguousArray);;Array, Hash Table, Prefix Sum;Medium
929;Unique Email Addresses;[problem](https://leetcode.com/problems/unique-email-addresses/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/929.UniqueEmailAddresses);;Array, Hash Table, String;Easy
23;Merge k Sorted Lists;[problem](https://leetcode.com/problems/merge-k-sorted-lists/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/23.MergekSortedLists);;Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort;Hard
975;Odd Even Jump;[problem](https://leetcode.com/problems/odd-even-jump/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/975.OddEvenJump);;Array, Dynamic Programming, Stack, Monotonic Stack, Ordered Set;Hard
80;Remove Duplicates from Sorted Array 2;[problem](https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/80.RemoveDuplicatesfromSortedArray2);;Array, Two Pointers;Meduim
482;License Key Formatting;[problem](https://leetcode.com/problems/license-key-formatting/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/482.LicenseKeyFormatting);;String;Easy
904;Fruit into Baskets;[problem](https://leetcode.com/problems/fruit-into-baskets/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/904.FruitIntoBaskets);;Array, Hash Table, Sliding Window;Medium
3;Longest Substring Without Repeating Characters;[problem](https://leetcode.com/problems/longest-substring-without-repeating-characters/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/3.LongestSubstringWithoutRepeatingCharacters);;Hash Table, String, Sliding Window;Medium
389;Find the Difference;[problem](https://leetcode.com/problems/find-the-difference/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/389.FindTheDifference);;Hash Table, String, Bit Manipulation, Sorting;Easy
1274;Number of Ships in a Rectangle;[problem](https://leetcode.com/problems/number-of-ships-in-a-rectangle/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/1274.NumberofShipsinaRectangle);;Array, Divide and Conquer, Interactive;Hard
258;Add Digits;[problem](https://leetcode.com/problems/add-digits/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/258.AddDigits);;Math, Simulation, Number Theory;Easy
532;K-diff Pairs in an Array;[problem](https://leetcode.com/problems/k-diff-pairs-in-an-array/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/532.K-diffPairsinanArray);;Array, Hash Table, Two Pointers, Binary Search, Sorting;Medium
560;Subarray Sum Equals K;[problem](https://leetcode.com/problems/subarray-sum-equals-k/);[solution](https://github.com/yk4r2/LeetCodeTasks/tree/master/560.SubarraySumEqualsK);[my explaination](https://leetcode.com/problems/subarray-sum-equals-k/discuss/1761447/98-time-oror-One-little-unordered_map-trick-oror-Easy-to-understand);Array, Hash Table, Prefix Sum;Medium
